Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q,,,
m,s,s,s,m,,°,m,m,s,s,s,m,m,,,,,,m,m,m,,m,m,m,m3/s/m,,,
0.129,1.436,1.197,1.306,0.542,,,0.197,0.085,1.518,1.265,1.380,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.129,1.436,1.197,1.306,0.542,,,0.197,0.085,1.518,1.265,1.380,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.099,1.272,1.060,1.157,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.114,1.293,1.077,1.175,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,4.450E-08,,,
0.129,1.436,1.197,1.306,0.542,44,0,0.197,0.111,1.313,1.094,1.194,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,5.500E-07,,,
0.129,1.436,1.197,1.306,0.542,51,45,0.197,0.096,1.190,0.992,1.082,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,1.150E-08,,,
0.129,1.436,1.197,1.306,0.542,51,45,0.197,0.096,1.190,0.992,1.082,0.127,0.161,0.46,1.50,1.50,1.50,1.50,0.148,0.000,0.000,0.00,0.000,0.169,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,,,0.204,0.096,1.416,1.180,1.287,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.143,1.457,1.214,1.324,0.549,,,0.204,0.096,1.416,1.180,1.287,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,3.250E-08,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.099,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,5.500E-08,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.123,1.313,1.094,1.194,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,1.150E-07,,,
0.143,1.457,1.214,1.324,0.549,44,0,0.204,0.102,1.272,1.060,1.157,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,2.300E-06,,,
0.143,1.457,1.214,1.324,0.549,51,45,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,4.400E-08,,,
0.143,1.457,1.214,1.324,0.549,51,45,0.204,0.102,1.231,1.026,1.119,0.134,0.161,0.46,1.50,1.50,1.50,1.50,0.141,0.000,0.000,0.00,0.000,0.161,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,,,0.166,0.067,1.005,0.838,0.914,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,,,0.166,0.067,1.005,0.838,0.914,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.073,1.088,0.906,0.989,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.073,1.149,0.958,1.045,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,44,0,0.166,0.088,1.088,0.906,0.989,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,45,45,0.166,0.088,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.073,1.190,0.992,1.082,0.511,45,45,0.166,0.088,1.067,0.889,0.970,0.096,0.161,0.46,1.50,1.50,1.50,1.50,0.179,0.000,0.000,0.00,0.000,0.199,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,,,0.188,0.070,1.046,0.872,0.951,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,,,0.188,0.070,1.046,0.872,0.951,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.076,1.149,0.958,1.045,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
0.076,1.190,0.992,1.082,0.533,44,0,0.188,0.073,1.170,0.975,1.063,0.118,0.161,0.46,1.50,1.50,1.50,1.50,0.157,0.000,0.000,0.00,0.000,0.177,0.365,0.000E+00,,,
