Hm0 deep,Tp deep,Tm deep,"Tm-1,0 deep",h deep,m,b,h,Hm0 toe,Tp toe,Tm toe,"Tm-1,0 toe",ht,Bt,gf,cotad,cotau,cotaexcl,cotaincl,Rc,B,hb,tanaB,Bh,Ac,Gc,q
0.146,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.108,1.354,1.129,1.231,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.146,1.457,1.214,1.324,0.549,44.0,0.0,0.204,0.111,1.252,1.043,1.138,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,3.1e-06
0.146,1.457,1.214,1.324,0.549,45.0,45.0,0.204,0.105,1.293,1.077,1.175,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,1.65e-06
0.146,1.457,1.214,1.324,0.549,45.0,45.0,0.204,0.105,1.293,1.077,1.175,0.134,0.161,0.46,1.5,1.5,1.5,1.5,0.141,0.0,0.0,0.0,0.0,0.161,0.365,0.0
0.083,1.49,1.242,1.354,0.265,100.0,0.0,0.132,0.08,1.49,1.242,1.354,0.112,0.0,0.4,2.5,2.5,2.5,2.5,0.155,0.0,0.0,0.0,0.0,0.155,0.133,0.0
0.09,1.534,1.278,1.394,0.301,100.0,0.0,0.168,0.087,1.534,1.278,1.394,0.148,0.0,0.4,2.5,2.5,2.5,2.5,0.119,0.0,0.0,0.0,0.0,0.119,0.133,2.745e-06
0.11,1.994,1.661,1.812,0.35,100.0,0.0,0.217,0.123,1.994,1.661,1.812,0.197,0.0,0.4,2.5,2.5,2.5,2.5,0.07,0.0,0.0,0.0,0.0,0.07,0.133,0.001065
0.127,2.235,1.862,2.032,0.35,100.0,0.0,0.217,0.14,2.235,1.862,2.032,0.197,0.0,0.4,2.5,2.5,2.5,2.5,0.07,0.0,0.0,0.0,0.0,0.07,0.133,0.00185
0.09,1.534,1.278,1.394,0.301,50.0,0.0,0.081,0.083,1.534,1.278,1.394,0.048,0.033,0.4,2.5,2.5,2.5,2.5,0.096,0.0,0.0,0.0,0.0,0.105,0.133,5.1e-06
0.08,2.388,1.99,2.171,0.301,50.0,0.0,0.081,0.09,2.388,1.99,2.171,0.048,0.033,0.4,2.5,2.5,2.5,2.5,0.096,0.0,0.0,0.0,0.0,0.105,0.133,4.315e-05
0.11,1.994,1.661,1.812,0.35,50.0,0.0,0.13,0.127,1.994,1.661,1.812,0.097,0.033,0.4,2.5,2.5,2.5,2.5,0.047,0.0,0.0,0.0,0.0,0.056,0.133,0.001248
0.083,1.49,1.242,1.354,0.265,100.0,0.0,0.132,0.08,1.49,1.242,1.354,0.112,0.0,0.4,2.5,2.5,2.5,2.5,0.155,0.0,0.0,0.0,0.0,0.155,0.11,0.0
